Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts▼,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,-9999
364,Mohamed Elneny,eg EGY,MF,Arsenal,29,1992,14,8,806,9.0,0,2,0,0,0,1,0,0.2,0.2,0.5,0.8,47a34c4f
365,Eddie Nketiah,eng ENG,FW,Arsenal,22,1999,21,8,835,9.3,5,1,5,0,0,3,0,4.4,4.4,1.9,6.2,a53649b7
366,Erik Pieters,nl NED,DF,Burnley,32,1988,12,8,730,8.1,0,1,0,0,0,1,0,0.3,0.3,0.9,1.3,1ef37668
367,Salomón Rondón,ve VEN,FW,Everton,31,1989,20,8,790,8.8,1,1,1,0,0,3,1,2.4,2.4,1.0,3.3,b318a643
368,Leon Bailey,jm JAM,MFFW,Aston Villa,23,1997,18,7,761,8.5,1,2,1,0,0,3,0,1.8,1.8,0.7,2.5,3a233281
369,Patrick Bamford,eng ENG,FW,Leeds United,27,1993,9,7,559,6.2,2,2,2,0,0,2,0,2.9,2.9,1.0,3.8,93feac6e
370,Edinson Cavani,uy URU,FW,Manchester Utd,34,1987,15,7,766,8.5,2,1,2,0,0,0,0,3.3,3.3,1.3,4.6,527f063d
371,Wesley Fofana,fr FRA,DF,Leicester City,20,2000,7,7,630,7.0,0,0,0,0,0,2,0,0.6,0.6,0.0,0.7,132a82f1
372,André Gomes,pt POR,MF,Everton,28,1993,14,7,619,6.9,0,1,0,0,0,3,0,0.7,0.7,0.2,1.0,1961b2aa
373,Tyler Roberts,wls WAL,MFFW,Leeds United,22,1999,23,7,987,11.0,1,1,1,0,0,5,0,2.4,2.4,1.4,3.8,6c17e046
374,Danny Rose,eng ENG,DF,Watford,31,1990,8,7,689,7.7,0,0,0,0,0,4,0,0.3,0.3,1.0,1.3,89d10e53
375,Lukas Rupp,de GER,MF,Norwich City,30,1991,19,7,769,8.5,0,0,0,0,0,0,0,0.8,0.8,1.5,2.4,3faa1780
376,Ken Sema,se SWE,MFFW,Watford,27,1993,18,7,852,9.5,0,0,0,0,0,1,0,0.2,0.2,1.5,1.7,1770bd68
377,Jamie Shackleton,eng ENG,DFMF,Leeds United,21,1999,14,7,709,7.9,0,0,0,0,0,4,0,0.2,0.2,0.0,0.2,8d03ca5a
378,Ben Chilwell,eng ENG,DF,Chelsea,24,1996,7,6,542,6.0,3,1,3,0,0,0,0,1.0,1.0,1.2,2.1,d2424d1b
379,Eberechi Eze,eng ENG,MFFW,Crystal Palace,23,1998,13,6,605,6.7,1,1,1,0,0,1,0,0.6,0.6,1.2,1.8,ae4fc6a4
380,Adam Idah,ie IRL,FWMF,Norwich City,20,2001,17,6,625,6.9,1,1,1,0,0,0,0,2.2,2.2,0.7,2.9,291e3ec3
381,Mathias Jørgensen,dk DEN,DF,Brentford,31,1990,8,6,518,5.8,1,0,1,0,0,2,0,0.2,0.2,0.3,0.6,0db5d2c8
382,Arthur Masuaku,cd COD,DFMF,West Ham,27,1993,13,6,650,7.2,1,1,1,0,0,1,0,0.1,0.1,0.8,0.9,57df7a11
